#Year Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec
1916 34.7 141.4 97.1 214.7 37.9 41.8 32.9 82.1 46.7 140.1 123.2 103.9
1917 31.6 28.9 91.2 62.6 55.4 66.4 84.5 129.1 38.9 123.3 18.2 33.0
1918 107.1 39.0 27.6 59.8 41.9 27.6 133.9 55.8 145.1 36.9 74.2 66.4
1919 125.0 80.1 129.9 64.5 8.8 17.8 40.4 74.2 175.5 20.1 64.6 156.7
1920 104.7 15.2 53.3 87.0 43.4 55.5 133.7 41.9 52.5 77.8 57.3 80.3
1921 91.0 8.9 31.6 24.7 236.3 3.5 16.3 54.6 19.7 176.4 54.8 43.3
1922 122.7 80.6 58.2 85.9 19.7 50.9 108.7 77.5 48.1 31.6 57.1 133.3
1923 42.8 150.6 106.2 77.9 44.0 9.6 23.3 58.2 52.5 101.0 44.6 80.8
1924 76.4 10.1 38.2 84.1 106.5 68.5 90.1 75.7 133.6 77.4 76.1 155.5
1925 108.1 116.9 12.0 66.9 95.3 0.0 68.7 109.7 78.2 101.6 73.0 93.0
1926 134.6 48.0 16.3 83.6 38.1 71.5 43.8 27.7 12.4 62.6 190.8 9.9
1927 60.4 107.5 92.9 49.7 19.3 61.7 70.5 108.2 153.2 51.2 79.3 103.8
1928 143.7 65.0 84.6 51.9 28.7 59.3 40.7 72.9 29.6 184.5 75.1 74.9
1929 40.2 30.5 4.4 27.8 50.1 35.5 51.8 44.9 10.7 126.8 230.2 188.8
1930 127.5 31.6 42.5 132.4 52.8 18.5 51.2 117.1 80.4 58.7 145.2 106.0
1931 57.9 57.2 25.1 73.8 77.3 80.9 90.5 142.6 51.9 17.0 101.3 17.8
1932 82.7 3.5 32.1 79.0 144.8 50.6 77.4 30.0 94.2 153.3 48.5 38.6
1933 54.6 94.2 95.9 29.0 47.8 45.3 43.7 23.6 80.9 47.5 17.5 20.1
1934 75.9 2.7 81.2 52.1 21.2 38.2 24.8 90.0 66.7 45.1 62.7 36.5
1935 20.6 94.3 25.6 85.9 37.3 106.1 60.2 71.7 100.1 146.1 199.7 99.5
1936 146.6 82.5 62.5 53.7 13.8 80.6 100.4 10.4 93.8 109.9 96.2 91.5
1937 171.8 143.0 98.7 55.7 75.2 36.4 28.7 31.5 46.5 93.0 55.6 147.6
1938 95.3 17.3 8.6 0.8 51.3 19.6 63.3 63.0 42.9 92.7 134.9 100.8
1939 150.4 33.6 33.3 54.6 33.0 48.8 119.6 51.8 56.4 103.1 160.8 46.7
1940 67.6 74.9 81.3 31.0 7.9 5.3 98.3 0.0 41.4 115.8 216.4 62.2
1941 91.5 79.5 106.7 44.9 43.9 41.4 47.2 88.6 34.3 25.4 69.1 54.1
1942 90.0 9.4 67.8 49.5 70.6 11.2 45.0 89.2 56.6 102.6 40.1 97.5
1943 149.9 31.1 15.7 21.3 88.9 32.8 53.6 35.1 48.8 94.0 38.3 51.3
1944 63.5 10.9 5.3 38.2 14.7 53.1 68.8 55.2 44.2 104.5 139.0 69.6
1945 47.0 54.0 20.6 27.7 69.9 99.3 56.1 47.2 49.3 83.3 8.1 105.4
1946 69.3 76.7 23.4 69.1 108.2 96.5 24.6 110.0 93.5 35.8 139.4 84.3
1947 75.4 45.0 170.4 54.8 27.9 34.3 22.9 24.6 28.2 29.7 34.0 70.9
1948 142.0 30.0 23.1 44.7 96.3 59.2 21.1 92.2 86.1 46.7 43.2 122.2
1949 20.1 36.3 37.1 46.2 63.5 11.9 8.1 24.4 85.6 217.2 95.8 35.6
1950 20.1 127.0 39.4 62.0 32.2 43.4 110.7 102.9 87.4 13.5 151.6 40.4
1951 102.4 153.7 109.1 207.5 69.7 29.3 53.8 125.9 86.1 28.3 234.7 70.2
1952 59.8 17.2 65.5 51.0 77.1 30.5 7.9 103.2 99.8 127.7 94.3 61.0
1953 23.6 36.2 13.8 45.9 67.5 68.8 111.3 47.4 87.8 143.8 34.0 20.3
1954 36.9 81.0 83.6 6.1 53.1 90.0 66.2 96.1 77.8 81.4 139.3 74.4
1955 91.0 52.2 29.9 9.4 108.1 69.3 33.8 24.4 42.8 118.6 70.5 107.0
1956 122.7 2.6 17.4 51.6 7.3 52.0 57.5 88.9 111.3 123.5 21.0 140.5
1957 74.6 104.0 52.5 2.3 39.8 42.9 109.2 88.5 67.3 61.0 67.0 53.3
1958 117.9 72.2 38.7 15.0 54.8 87.4 45.3 111.0 123.7 81.3 58.4 115.7
1959 85.9 4.4 84.9 69.1 17.2 24.7 42.0 39.6 2.0 78.5 97.0 164.2
1960 102.5 75.6 53.9 31.6 36.7 62.0 113.3 152.4 123.3 89.0 135.4 99.8
1961 126.4 61.4 3.1 105.1 33.5 18.6 29.7 23.5 92.8 97.7 62.1 86.1
1962 131.6 13.7 33.2 38.2 62.8 9.0 40.7 82.2 106.7 138.7 77.3 70.7
1963 14.8 34.0 114.4 125.1 42.3 62.6 31.0 87.3 66.6 43.9 151.5 35.8
1964 10.9 28.4 111.8 129.2 66.8 61.1 19.4 22.3 18.6 129.8 62.8 87.2
1965 95.3 3.7 92.1 29.1 47.9 53.9 80.9 63.5 106.7 14.5 106.5 131.6
1966 52.7 142.0 26.1 97.0 60.4 69.2 56.0 75.4 49.7 150.1 49.7 67.1
1967 102.5 90.7 58.1 46.3 108.8 36.2 26.5 65.0 105.7 179.6 54.0 75.4
1968 67.8 55.2 24.0 63.2 66.9 108.3 58.5 42.0 175.9 107.3 45.1 85.4
1969 130.3 44.9 75.9 22.0 82.9 29.3 49.4 67.9 35.5 2.8 130.1 94.6
1970 115.4 63.3 49.5 42.1 30.5 36.2 56.0 61.3 68.7 13.2 221.4 26.6
1971 110.6 26.8 72.3 52.1 30.5 129.8 40.2 54.9 8.9 61.9 55.0 29.4
1972 85.7 88.0 62.6 64.4 71.1 43.3 41.9 36.1 26.8 38.4 77.5 125.7
1973 36.9 23.1 19.1 50.4 72.1 34.3 30.3 35.5 43.8 36.8 25.4 64.5
1974 141.2 118.5 26.1 16.0 42.0 93.6 48.0 80.2 160.5 50.4 166.3 44.5
1975 129.5 25.3 98.2 31.7 41.3 17.0 24.9 36.4 163.6 31.1 58.8 33.2
1976 12.2 31.1 16.5 9.9 32.1 10.5 16.9 29.4 138.0 132.5 154.6 94.9
1977 76.1 122.7 74.0 25.0 62.8 55.7 10.6 102.5 19.6 50.6 85.7 113.1
1978 90.3 75.7 67.4 65.4 43.1 29.5 81.4 50.7 24.2 6.4 21.3 198.6
1979 90.6 61.7 92.7 50.3 117.8 44.1 29.7 79.7 16.3 60.2 48.0 111.4
1980 45.0 61.8 87.6 16.7 20.7 136.7 48.7 57.8 49.9 86.6 47.7 46.4
1981 28.9 36.4 140.7 49.0 86.5 31.7 52.1 10.7 165.6 80.6 37.7 92.3
1982 39.8 46.6 82.4 16.6 64.6 79.6 30.3 56.4 56.8 167.6 123.3 97.4
1983 76.3 33.8 34.1 74.9 66.0 46.3 9.1 39.9 81.7 55.1 40.6 94.4
1984 125.5 32.3 80.0 2.0 92.8 19.8 29.5 22.7 62.5 95.7 132.4 109.0
1985 70.7 35.8 56.6 41.7 35.3 59.0 57.0 91.9 23.3 18.3 51.6 108.4
1986 116.3 7.6 57.9 53.2 67.7 22.3 53.0 103.9 31.3 74.4 116.7 112.0
1987 9.7 55.4 96.8 73.5 29.9 65.9 47.2 16.7 38.4 192.8 79.4 43.5
1988 148.8 49.5 69.7 43.0 24.4 25.6 60.3 60.9 30.4 83.6 18.1 18.9
1989 25.3 80.3 80.0 73.7 4.1 36.5 16.3 27.5 26.9 93.6 52.1 159.0
1990 120.5 168.4 4.3 36.1 19.0 53.6 8.9 19.5 38.5 91.9 42.6 57.9
1991 104.2 29.5 79.4 40.1 11.1 111.0 70.0 11.7 43.8 77.0 55.8 28.0
1992 20.7 37.8 37.0 90.9 16.2 48.7 47.6 94.6 50.3 59.3 135.1 91.9
1993 99.9 7.5 47.9 86.1 57.0 59.7 54.7 34.0 124.9 174.5 76.7 155.8
1994 127.8 81.4 63.7 61.7 95.4 25.7 16.1 50.3 93.1 107.6 71.3 122.2
1995 146.0 127.3 45.0 22.6 21.1 11.2 19.7 4.6 151.4 47.4 126.7 83.9
1996 64.7 84.9 38.1 37.3 44.0 21.0 43.8 72.6 36.7 55.5 140.7 23.5
1997 16.4 112.2 23.4 12.5 40.7 105.2 10.6 72.1 7.5 64.5 151.4 100.5
1998 118.5 9.5 78.5 89.3 18.9 109.0 37.4 18.3 99.6 135.1 59.0 87.3
1999 129.4 28.8 32.2 57.2 17.2 75.3 11.8 119.5 111.9 66.8 49.6 138.8
